sample_id,notes,species,category,weight_mg,n2_area,percent_n,d15N,co2_area,percent_c,d13C,area
YH003,NA,coyote,coyote,1.018,98.5,11.74,8.23,154.7,55.08,-23.76,South Puget Sound
YH004,NA,coyote,coyote,1.248,143.6,13.96,7.07,168.4,48.78,-17.5,South Puget Sound
YH005,NA,coyote,coyote,1.308,150.9,13.99,9.37,180.8,49.88,-23.03,South Puget Sound
YH010,NA,coyote,coyote,0.479,45.7,11.6,8.35,70.1,52.74,-23.21,South Puget Sound
YH011,NA,coyote,coyote,1.294,127.9,11.98,7.34,194.1,53.93,-20.97,South Puget Sound
YH012,NA,coyote,coyote,0.848,90.9,13.01,7.42,116.6,49.38,-23.17,Snohomish County
YH014,NA,coyote,coyote,0.88,95.1,13.12,7.54,125.4,51.15,-23.61,Eastside
YH016,NA,coyote,coyote,1.15,134.5,14.19,8.35,161.1,50.2,-20.67,South Puget Sound
YH018,NA,coyote,coyote,0.845,97.8,14.05,7.38,118.5,50.17,-22.78,Eastside
YH019,NA,coyote,coyote,0.797,89.8,13.67,7.34,111.9,50.24,-22.95,Eastside
YH020,NA,coyote,coyote,1.461,168.2,13.98,9.01,204.2,49.84,-24.73,Skagit Valley
YH028,NA,coyote,coyote,1.177,134.7,13.91,6.76,165.3,50.01,-24.12,Whidbey Island
YH029,NA,coyote,coyote,1.371,161.3,14.28,6.89,190.6,49.42,-23.67,Whidbey Island
YH030,NA,coyote,coyote,1.24,147.8,14.48,7.72,169.3,48.48,-25.12,Whidbey Island
YH031,NA,coyote,coyote,1.07,127.5,14.44,7.13,147.1,48.79,-21.58,Eastside
YH032,NA,coyote,coyote,1.388,177.5,15.54,7.36,188.5,48.13,-19.59,Snohomish County
YH033,NA,coyote,coyote,1.467,178.4,14.77,7.07,200.7,48.41,-21.85,Eastside
YH034,NA,coyote,coyote,1.009,122.9,14.8,7.72,137.6,48.22,-24.31,Whidbey Island
YH035,NA,coyote,coyote,1.235,154.8,15.21,7.71,166.9,47.7,-22.17,Eastside
