species,ucp_id,prep_number,date_of_death,intake_date,necropsy_date,manner_of_death,county_approximate_ocation,city_approximate_location,neighborhood,lat_long_remark,dissected_by,collection_notes_condition,paws_case_number,sex,age,reproductive_status,suspected_young_of_year,total_length_mm,tail_mm,right_hind_foot_mm,right_ear_mm,testes_mm,weight_g,body_condition_1_5,skin_lesions,ringworm,ectoparasites,coloration_claws,notes_external,tooth_wear,bone_marrow_color,bone_marrow_consistency,heart,lungs,lymph_nodes,notes_thoracic,spleen_mass,liver_mass,liver_condition_path,notes_liver_bile_ducts_lymphatic,kidney_pathology_condition,kidney_w_fat_g,kidney_wo_fat_g,kidney_fat_weight_g,kidney_fat_index_percentage,uterine_scars_l_r,current_pregnancy_embryos_l_r,notes_reproductive_urinary,additional_notes_and_observations,update_sample_sheet,popdens_1000m,popdens_2000m,popdens_3000m
Raccoon,RAC002,YH001,9/7/21,9/7/21,NA,Roadkill,King,Seattle,Wedgwood,Specific,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,3814.468994140625,4267.02880859375,4086.646240234375
Raccoon,RAC001,YH002,8/21/21,8/21/21,NA,Roadkill,King,Seattle,Ballard,Specific,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2665.87060546875,3373.941650390625,3320.85693359375
Coyote,COY002,YH003,10/28/21,NA,NA,Wildlife Control Operator,Pierce,Tacoma,NA,Approx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,465.75897216796875,518.91082763671875,747.71734619140625
Coyote,COY003,YH004,10/28/21,NA,NA,Wildlife Control Operator,Pierce,Tacoma,NA,Approx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,465.75897216796875,518.91082763671875,747.71734619140625
Coyote,COY004,YH005,10/28/21,NA,NA,Wildlife Control Operator,Pierce,Tacoma,NA,Approx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,465.75897216796875,518.91082763671875,747.71734619140625
River otter,OTT001A,YH006,NA,NA,2/3/21,Wildlife Control Operator,King,Enumclaw,Soos Creek,Approx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,\,NA,TRUE,88.30903625488281,721.0635986328125,906.7655029296875
Bobcat,BOB001,YH007,10/31/21,NA,2/3/22 (Finished 6/28/23),Burke Accession,King,Issaquah,NA,Specific,YH,Roadkill,NA,Female,Juvenile,N/A,N,632,96,136,61,NA,2690,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Right Lung collapsed, aspirated blood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Left hind foot broken at ankle, can't find records of any samples being taken.",TRUE,51.19087219238281,53.79258346557617,49.2890625
Raccoon,RAC005,YH008,NA,NA,NA,Roadkill,King,Seattle,University District,Specific,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,7008.27880859375,6090.86328125,4809.84521484375
Raccoon,RAC004,YH009,1/29/22,1/29/22,NA,Roadkill,King,Seattle,Sodo/I-district,Specific,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fill in using physical data sheet at burke,FALSE,3905.335693359375,4339.3876953125,4848.28564453125
Coyote,COY005,YH010,NA,2/15/22,7/7/22,Wildlife Control Operator,Pierce,Spanaway,NA,Approx,"SK, SR",NA,NA,Male,Adult,Testes present,NA,1300,394,182,126,36,11460,4,mangy,NA,NA,NA,NA,NA,NA,NA,NA,"dark, full of blood",enlarged,full of blood,NA,NA,NA,spleen decayed,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,"testes descended, bare","potential worm in intestine, spotted caecum",TRUE,345.9419860839844,623.99676513671875,732.57989501953125
