Species,UCP_ID,Prep_Number,Date_of_death,Intake_date,Necropsy_date,Manner_of_death,County_approximate _ocation,City_approximate_location,Neighborhood,Latitude,Longitude,LatLong_Remark,Dissected_by,Collection_notes_condition,PAWS_Case_Number,Sex,Age,Reproductive status,Suspected_Young_of_Year,Total_length_(mm),Tail_(mm),Right_hind_foot_(mm),Right_ear_(mm),Testes_(mm),Weight_(g),Body_condition_(1-5),Skin_lesions,Ringworm,Ectoparasites,Coloration_claws,Notes_external,Tooth_wear,Bone_marrow_color,Bone_marrow_consistency,Heart,Lungs,Lymph_nodes,Notes_thoracic,Spleen_mass,Liver_mass,Liver_condition_path,Notes_liver_bile ducts_lymphatic,Kidney_pathology_condition,kidney_w_fat_g,kidney_wo_fat_g,Kidney_fat_weight_g,Kidney_fat_index_percentage,Uterine_scars_(L+R),Current_pregnancy_(Embryos_L+R),Notes_reproductive_urinary,Additional_notes_and_observations,UPDATE_SAMPLE_SHEET
Raccoon,RAC029,YH112,4/16/23,4/18/23,7/6/23,PAWS,thurston,Olympia,NA,47.03423,-122.818581,Specific,"IC,YH",NA,2023-0574,Female,Adult,Uterine scars,no,970,310,120,40,NA,6600- whatever the tray was,3,NA,NA,NA,normal,NA,UR canine chipped,red,jelly,normal,saturated w/ blood,NA,NA,19.2,120 w/ gb,normal,spleen looks bumpy and spotted and pale,NA,NA,NA,#VALUE!,#VALUE!,3L and 2R,NA,NA,NA,TRUE
River otter,OTT006A,YH119,NA,5/11/22,8/3/23,Roadkill,Mason,Victor,NA,47.3893485,-122.8153363,Specific,"IV, IC",NA,,Female,Juvenile,Nonparous,No,1050,370,150,10,NA,5600,3,NA,NA,NA,normal,normal,normal ,pinkish red,jelly,normal,normal,normal,na,62.6,244.8 w/gb,normal,na,normal,NA,NA,#VALUE!,#VALUE!,na,NA,NA,"burke accesion-whitney worrell, lots of internal bleeding, coagulated blood in thoracic cavity",TRUE
River otter,OTT017,YH256,9/26/24,10/9/24,10/24/24,Puget Sound WildCare,Kitsap,Bremerton ,Port of Bremerton,47.4909151,-122.7691045,approx,"VB, CC",NA,NA,Male,Adult,Baculum present,NA,1290,550,130,21,100,13500 WITH TRAY,4,bullet wound on top of head,NA,NA,"minimal wear (back claws have some splintering), claws light colored tan/opaque ",NA,"very pristine very white no chipping no obvious cavities, jaw alignment looked good, base of jaw aligns with socket well ",NA,NA,normal,norma,normal,NA,45.1,504.8 w/gb,normal,NA,normal,48.6,46,2.6,5.652173913,NA,NA,NA,NA,TRUE
River otter,OTT010,YH257,9/26/24,10/9/24,11/7/24,USDA Wildlife Services,Kitsap,Bremerton ,Port of Bremerton,47.4924,-122.7667,approx,"ER, TW",NA,NA,Female,Adult,No scars observed,NA,1420,545,130,25,NA,11610,2,NA,NA,NA,left front paw dewclaw broken to base,NA,"blunt upper canine tips, brown incisors ",NA,NA,top chamber dark + full of blood ,"healthy, airy",normal,NA,46,534.0 + 66.5,normal ,NA,normal,60.2,56.7,3.5,6.172839506,NA,NA,NA,NA,TRUE
River otter,OTT016,YH258,9/30/14,10/9/24,11/7/24,USDA Wildlife Services,Kitsap,Bremerton ,Port of Bremerton,47.4924,-122.7667,approx,"CC, LR",shot,NA,Male,Adult,Baculum present,NA,1528,580,145,28,81,11385,3,scab on front L foot ,NA,NA,"deep brown coat, light colored claws ",NA,some wear,NA,NA,normal,normal,normal,NA,56.2,444.8 w/gb,normal,NA,normal,121.5,116.7,4.8,4.11311054,NA,NA,NA,NA,TRUE
River otter,OTT012,YH254,9/28/24,10/9/24,11/7/24,Other,Kitsap,Bremerton ,Port of Bremerton,47.4921632,-122.7663525,specific,"EB,TT",NA,NA,Female,Juvenile,Uterine scars,NA,1265,500,130,15,NA,7240,3,bloody but NO lesions,NA,NA,normal,NA,teeth normal ,NA,NA,blue looking?? possibly coagulated blood ,normal,normal ,NA,38,247.7g w/gb,normal ,NA,normal,42.2,40,2.2,5.5,"3L, 2R",NA,NA,NA,TRUE
River otter,OTT013,YH252,9/30/24,10/9/24,10/17/24,Puget Sound WildCare,Kitsap,Bremerton ,Port of Bremerton,47.69678,-122.7595159,approx,CC,NA,NA,Male,Adult,N/A,NA,1420,510,132,25,45,8562,NA,bleeding from head,NA,NA,"deep brown, dark brown claws",NA,"bottom teeth worn, canines good ",NA,NA,some fat surrounding ,normal some dark spots,normal,NA,41.7,302.9 w/gb,"healthy, deep red, no leasions, no spots ",NA,good condition little fat,106.9,102.9,4,3.887269193,NA,NA,NA,NA,TRUE
River otter,OTT011,YH253,9/26/24,10/9/24,10/17/24,,Kitsap,Bremerton ,Port of Bremerton,47.69678,-122.7595159,approx,EM,NA,NA,Female,Adult,Uterine scars,NA,1180,500,132,16,NA,8140,3,NA,NA,NA,normal,NA,normal,NA,NA,normal ,"squishy, normal",NA,NA,27.2,319.7g w/gb,"pale, soft and easily breaking apart, squishy and slimey ",NA,normal,39.3,36.9,2.4,6.504065041,"2R, 2L",NA,NA,NA,TRUE
Coyote,COY121,YH215,9/27/23,5/20/24,5/30/24,USDA Wildlife Services,Island ,Whidbey,Coupeville,48.21998943,-122.6863215,Approx,"JC, MT",NA,NA,Female,Adult,Uterine scars,NA,1080,330,175,180,NA,12190,3,NA,NA,NA,"normal, claws worn",NA,worn mittens,NA,NA,normal,satuarted with blood,NA,NA,24,273.9 w/gb,"slight decomp, spongy, discolored (greyish)",NA,good distinction ,37.2,33.6,3.6,10.71428571,"cysts on overies, looks like she has had puppies in past but did not get location of scars ",NA,"bullet wound entrance right at base of neck above rib cage, thoraic cavity filled with blood likely due to bullet, no adrenal gland located ",,TRUE
Coyote,COY025,YH028,9/26/22,11/22/22,12/1/22,USDA Wildlife Services,Island,Whidbey,Ault Field,48.347543,-122.649898,Approx,"CK, SK",NA,,Female,Juvenile,N/A,N,1090,235,175,135,NA,6200,2,NA,NA,NA,NA,NA,"None, adult teeth starting to come in",Dark red,jelly,potential myocarditis,"Bullet hole in lung, hemoraging in lung but otherwise normal tissue",NA,"No paricarditis, no heartworm, a lot of blood in cavity",13.8,NA,Pretty pale liver,NA,Some fat plaques on L kidney,NA,NA,#VALUE!,#VALUE!,No,No,Normal tiny uterus,"Limited mescentry fat, no interstitial nephritis, no renomegaly, no kidney amyloidosis, no renal aplasia/hyperplasia/dysplasia, normal urrinary bladder wall, spleen very dark red/black",TRUE
