Sample ID,Prep Number,Hookworm (F),Hookworm (M),Total Hookworms
Coy006,YH011,0,0,0
Coy008,YH012,0,0,0
Coy010,YH018,3,0,3
Coy011,YH019,187,89,276
Coy013,YH020,0,0,0
Coy021,YH029,129,0,129
Coy026,YH030,2,0,2
Coy036,YH031,,,0
Coy034,YH032,0,0,0
Coy022,YH034,1,2,3
Coy037,YH035,,,0
Coy038,YH036,0,1,1
Coy020,YH038,0,1,1
Coy023,YH039,11,0,11
Coy018,YH040,41,11,52
Coy016,YH042,15,4,19
Coy030,YH043,0,0,0
Coy053,YH045,0,0,0
Coy051,YH046,9,2,11
Coy014,YH047,0,0,0
Coy043,YH048,3,1,4
Coy027,YH049,41,19,60
Coy012,YH051,0,1,1
Coy029,YH052,0,0,0
Coy061,YH053,,,
Coy052,YH054,4,4,8
Coy047,YH056,1,0,1
Coy064,YH057,0,0,0
Coy059,YH058,168,148,316
Coy054,YH059,1,0,1
Coy040,YH061,0,0,0
Coy066,YH063,,1,1
Coy041,YH064,32,7,39
Coy055,YH065,0,0,0
Coy067,YH067,0,0,0
Coy050,YH068,2,0,2
Coy078A,YH069,0,0,0
Coy074,YH070,28,17,45
Coy073,YH071,13,10,23
Coy080A,YH072,18,10,51
Coy060,YH073,69,39,108
Coy048,YH074,0,0,0
Coy071A,YH075,,,0
Coy044,YH076,12,6,18
Coy045,YH077,0,0,0
Coy076,YH078,73,42,115
Coy046,YH079,0,0,0
Coy077,YH081,0,0,4
Coy032A,YH082,12,5,17
Coy083A,YH084,19,20,39
Coy071B,YH085,,,0
Coy081,YH086,27,9,36
Coy049,YH087,1,3,4
Coy078B,YH088,5,0,5
Coy085,YH089,0,0,0
Coy072,YH091,1,1,2
Coy032B,YH096,0,0,0
Coy091,YH097,0,0,0
Coy090,YH109,113,69,182
Coy096,YH113,8,6,14
Coy094,YH114,,,0
Coy093,YH115,1,0,1
Coy097,YH116,1,0,1
Coy095,YH118,0,1,1
Coy080B,YH125,0,7,7
Coy099,YH126,12,4,16
Coy098,YH127,0,0,0
Coy102,YH128,45,30,77
Coy109A,YH130,NA,NA,4
Coy039,YH131,31,12,43
Coy105,YH132,1,0,1
Coy114,YH142,0,0,0
Coy104,YH143,0,0,0
Coy100,YH147,0,0,0
Coy108A,YH148,0,1,1
Coy112,YH151,5,8,13
Coy108B,YH158,1,0,1
Coy110,YH168,2,1,3
Coy116A,YH169,,,0
Coy115,YH178,0,0,0
Coy117,YH187,1,4,5
Coy118,YH202,0,0,0
Coy129,YH208,0,0,0
Coy132,YH209,2,3,5
Coy130,YH212,5,3,8
Coy125,YH213,NA,NA,1
Coy122,YH223,5,8,14
Coy143,YH247,112,83,195
Coy154,YH251,5,0,5
Coy155,YH263,3,1,4
Coy161,YH266,0,0,1
Coy157,YH267,9,3,12
Coy162,YH268,0,0,0
Coy163,YH269,0,0,0
Coy164,YH270,NA,NA,3
Coy165,YH271,0,0,0
Coy166,YH272,0,0,0
